hand,hand_idx,suited,connectedness,pair,high_card,low_card,rank_diff,hand_type,ace,broadway,low_pair,medium_pair,high_pair,broadway_score,suited_broadway,suited_broadway_score,connector,one_gap,two_gap,suited_connector,suited_one_gap,suited_two_gap,connectedness_score,rank_diff_score,high_card_score,low_card_score,suited_connected_score
K4s,113,1,9,0,11,2,9,suited,0,1,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0.18181818181818182,0.25,0.9166666666666666,0.16666666666666666,0.18181818181818182
K5o,114,0,8,0,11,3,8,offsuit,0,1,0,0,0,0.5,0,0.0,0,0,0,0,0,0,0.2727272727272727,0.3333333333333333,0.9166666666666666,0.25,0.0
K5s,115,1,8,0,11,3,8,suited,0,1,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0.2727272727272727,0.3333333333333333,0.9166666666666666,0.25,0.2727272727272727
K6o,116,0,7,0,11,4,7,offsuit,0,1,0,0,0,0.5,0,0.0,0,0,0,0,0,0,0.36363636363636365,0.4166666666666667,0.9166666666666666,0.3333333333333333,0.0
K6s,117,1,7,0,11,4,7,suited,0,1,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0.36363636363636365,0.4166666666666667,0.9166666666666666,0.3333333333333333,0.36363636363636365
K7o,118,0,6,0,11,5,6,offsuit,0,1,0,0,0,0.5,0,0.0,0,0,0,0,0,0,0.45454545454545453,0.5,0.9166666666666666,0.4166666666666667,0.0
K7s,119,1,6,0,11,5,6,suited,0,1,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0.45454545454545453,0.5,0.9166666666666666,0.4166666666666667,0.45454545454545453
K8o,120,0,5,0,11,6,5,offsuit,0,1,0,0,0,0.5,0,0.0,0,0,0,0,0,0,0.5454545454545454,0.5833333333333334,0.9166666666666666,0.5,0.0
K8s,121,1,5,0,11,6,5,suited,0,1,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0.5454545454545454,0.5833333333333334,0.9166666666666666,0.5,0.5454545454545454
K9o,122,0,4,0,11,7,4,offsuit,0,1,0,0,0,0.5,0,0.0,0,0,0,0,0,0,0.6363636363636364,0.6666666666666666,0.9166666666666666,0.5833333333333334,0.0
K9s,123,1,4,0,11,7,4,suited,0,1,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0.6363636363636364,0.6666666666666666,0.9166666666666666,0.5833333333333334,0.6363636363636364
KJo,124,0,2,0,11,9,2,offsuit,0,2,0,0,0,1.0,0,0.0,0,1,0,0,0,0,0.8181818181818182,0.8333333333333334,0.9166666666666666,0.75,0.0
KJs,125,1,2,0,11,9,2,suited,0,2,0,0,0,1.0,2,1.0,0,1,0,0,1,0,0.8181818181818182,0.8333333333333334,0.9166666666666666,0.75,0.8181818181818182
KKo,126,0,0,1,11,11,0,pair,0,2,0,0,1,1.0,0,0.0,0,0,0,0,0,0,1.0,1.0,0.9166666666666666,0.9166666666666666,0.0
KQo,127,0,1,0,11,10,1,offsuit,0,2,0,0,0,1.0,0,0.0,1,0,0,0,0,0,0.9090909090909091,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.0
KQs,128,1,1,0,11,10,1,suited,0,2,0,0,0,1.0,2,1.0,1,0,0,1,0,0,0.9090909090909091,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.9090909090909091
KTo,129,0,3,0,11,8,3,offsuit,0,2,0,0,0,1.0,0,0.0,0,0,1,0,0,0,0.7272727272727273,0.75,0.9166666666666666,0.6666666666666666,0.0
KTs,130,1,3,0,11,8,3,suited,0,2,0,0,0,1.0,2,1.0,0,0,1,0,0,1,0.7272727272727273,0.75,0.9166666666666666,0.6666666666666666,0.7272727272727273
Q2o,131,0,10,0,10,0,10,offsuit,0,1,0,0,0,0.5,0,0.0,0,0,0,0,0,0,0.09090909090909091,0.16666666666666666,0.8333333333333334,0.0,0.0
Q2s,132,1,10,0,10,0,10,suited,0,1,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0.09090909090909091,0.16666666666666666,0.8333333333333334,0.0,0.09090909090909091
Q3o,133,0,9,0,10,1,9,offsuit,0,1,0,0,0,0.5,0,0.0,0,0,0,0,0,0,0.18181818181818182,0.25,0.8333333333333334,0.08333333333333333,0.0
Q3s,134,1,9,0,10,1,9,suited,0,1,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0.18181818181818182,0.25,0.8333333333333334,0.08333333333333333,0.18181818181818182
Q4o,135,0,8,0,10,2,8,offsuit,0,1,0,0,0,0.5,0,0.0,0,0,0,0,0,0,0.2727272727272727,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.0
Q4s,136,1,8,0,10,2,8,suited,0,1,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0.2727272727272727,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.2727272727272727
Q5o,137,0,7,0,10,3,7,offsuit,0,1,0,0,0,0.5,0,0.0,0,0,0,0,0,0,0.36363636363636365,0.4166666666666667,0.8333333333333334,0.25,0.0
Q5s,138,1,7,0,10,3,7,suited,0,1,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0.36363636363636365,0.4166666666666667,0.8333333333333334,0.25,0.36363636363636365
Q6o,139,0,6,0,10,4,6,offsuit,0,1,0,0,0,0.5,0,0.0,0,0,0,0,0,0,0.45454545454545453,0.5,0.8333333333333334,0.3333333333333333,0.0
Q6s,140,1,6,0,10,4,6,suited,0,1,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0.45454545454545453,0.5,0.8333333333333334,0.3333333333333333,0.45454545454545453
Q7o,141,0,5,0,10,5,5,offsuit,0,1,0,0,0,0.5,0,0.0,0,0,0,0,0,0,0.5454545454545454,0.5833333333333334,0.8333333333333334,0.4166666666666667,0.0
Q7s,142,1,5,0,10,5,5,suited,0,1,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0.5454545454545454,0.5833333333333334,0.8333333333333334,0.4166666666666667,0.5454545454545454
Q8o,143,0,4,0,10,6,4,offsuit,0,1,0,0,0,0.5,0,0.0,0,0,0,0,0,0,0.6363636363636364,0.6666666666666666,0.8333333333333334,0.5,0.0
Q8s,144,1,4,0,10,6,4,suited,0,1,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0.6363636363636364,0.6666666666666666,0.8333333333333334,0.5,0.6363636363636364
Q9o,145,0,3,0,10,7,3,offsuit,0,1,0,0,0,0.5,0,0.0,0,0,1,0,0,0,0.7272727272727273,0.75,0.8333333333333334,0.5833333333333334,0.0
Q9s,146,1,3,0,10,7,3,suited,0,1,0,0,0,0.5,1,0.5,0,0,1,0,0,1,0.7272727272727273,0.75,0.8333333333333334,0.5833333333333334,0.7272727272727273
