,flop,suitedness,pairness,connectedness,high_low_texture,high_card,straightness
219,"('2s', '3h', '9d')",0.0,0.0,1.0,0.0,7.0,0.0
220,"('2s', '3h', 'Ts')",1.0,0.0,1.0,0.0,8.0,0.0
221,"('2s', '3h', 'Th')",1.0,0.0,1.0,0.0,8.0,0.0
222,"('2s', '3h', 'Tc')",0.0,0.0,1.0,0.0,8.0,0.0
223,"('2s', '3h', 'Td')",0.0,0.0,1.0,0.0,8.0,0.0
224,"('2s', '3h', 'Js')",1.0,0.0,1.0,0.0,9.0,0.0
225,"('2s', '3h', 'Jh')",1.0,0.0,1.0,0.0,9.0,0.0
226,"('2s', '3h', 'Jc')",0.0,0.0,1.0,0.0,9.0,0.0
227,"('2s', '3h', 'Jd')",0.0,0.0,1.0,0.0,9.0,0.0
228,"('2s', '3h', 'Qs')",1.0,0.0,1.0,0.0,10.0,0.0
229,"('2s', '3h', 'Qh')",1.0,0.0,1.0,0.0,10.0,0.0
230,"('2s', '3h', 'Qc')",0.0,0.0,1.0,0.0,10.0,0.0
231,"('2s', '3h', 'Qd')",0.0,0.0,1.0,0.0,10.0,0.0
232,"('2s', '3h', 'Ks')",1.0,0.0,1.0,0.0,11.0,0.0
233,"('2s', '3h', 'Kh')",1.0,0.0,1.0,0.0,11.0,0.0
234,"('2s', '3h', 'Kc')",0.0,0.0,1.0,0.0,11.0,0.0
235,"('2s', '3h', 'Kd')",0.0,0.0,1.0,0.0,11.0,0.0
236,"('2s', '3h', 'As')",1.0,0.0,2.0,0.0,12.0,1.0
237,"('2s', '3h', 'Ah')",1.0,0.0,2.0,0.0,12.0,1.0
238,"('2s', '3h', 'Ac')",0.0,0.0,2.0,0.0,12.0,1.0
239,"('2s', '3h', 'Ad')",0.0,0.0,2.0,0.0,12.0,1.0
240,"('2s', '3c', '3d')",0.0,1.0,1.0,0.0,1.0,0.0
241,"('2s', '3c', '4s')",1.0,0.0,2.0,0.0,2.0,2.0
242,"('2s', '3c', '4h')",0.0,0.0,2.0,0.0,2.0,2.0
243,"('2s', '3c', '4c')",1.0,0.0,2.0,0.0,2.0,2.0
244,"('2s', '3c', '4d')",0.0,0.0,2.0,0.0,2.0,2.0
245,"('2s', '3c', '5s')",1.0,0.0,1.0,0.0,3.0,2.0
246,"('2s', '3c', '5h')",0.0,0.0,1.0,0.0,3.0,2.0
247,"('2s', '3c', '5c')",1.0,0.0,1.0,0.0,3.0,2.0
248,"('2s', '3c', '5d')",0.0,0.0,1.0,0.0,3.0,2.0
249,"('2s', '3c', '6s')",1.0,0.0,1.0,0.0,4.0,1.0
250,"('2s', '3c', '6h')",0.0,0.0,1.0,0.0,4.0,1.0
251,"('2s', '3c', '6c')",1.0,0.0,1.0,0.0,4.0,1.0
252,"('2s', '3c', '6d')",0.0,0.0,1.0,0.0,4.0,1.0
253,"('2s', '3c', '7s')",1.0,0.0,1.0,0.0,5.0,0.0
254,"('2s', '3c', '7h')",0.0,0.0,1.0,0.0,5.0,0.0
255,"('2s', '3c', '7c')",1.0,0.0,1.0,0.0,5.0,0.0
256,"('2s', '3c', '7d')",0.0,0.0,1.0,0.0,5.0,0.0
257,"('2s', '3c', '8s')",1.0,0.0,1.0,0.0,6.0,0.0
258,"('2s', '3c', '8h')",0.0,0.0,1.0,0.0,6.0,0.0
259,"('2s', '3c', '8c')",1.0,0.0,1.0,0.0,6.0,0.0
260,"('2s', '3c', '8d')",0.0,0.0,1.0,0.0,6.0,0.0
261,"('2s', '3c', '9s')",1.0,0.0,1.0,0.0,7.0,0.0
262,"('2s', '3c', '9h')",0.0,0.0,1.0,0.0,7.0,0.0
263,"('2s', '3c', '9c')",1.0,0.0,1.0,0.0,7.0,0.0
264,"('2s', '3c', '9d')",0.0,0.0,1.0,0.0,7.0,0.0
265,"('2s', '3c', 'Ts')",1.0,0.0,1.0,0.0,8.0,0.0
266,"('2s', '3c', 'Th')",0.0,0.0,1.0,0.0,8.0,0.0
267,"('2s', '3c', 'Tc')",1.0,0.0,1.0,0.0,8.0,0.0
268,"('2s', '3c', 'Td')",0.0,0.0,1.0,0.0,8.0,0.0
269,"('2s', '3c', 'Js')",1.0,0.0,1.0,0.0,9.0,0.0
270,"('2s', '3c', 'Jh')",0.0,0.0,1.0,0.0,9.0,0.0
271,"('2s', '3c', 'Jc')",1.0,0.0,1.0,0.0,9.0,0.0
272,"('2s', '3c', 'Jd')",0.0,0.0,1.0,0.0,9.0,0.0
273,"('2s', '3c', 'Qs')",1.0,0.0,1.0,0.0,10.0,0.0
274,"('2s', '3c', 'Qh')",0.0,0.0,1.0,0.0,10.0,0.0
